lon: -164, lat: 86, elevation: 0.0
lon: -164, lat: 90, elevation: 0.0
lon: -160, lat: -90, elevation: 0.0
lon: -160, lat: -86, elevation: 0.0
lon: -160, lat: -82, elevation: 0.0
lon: -160, lat: -78, elevation: 0.0
lon: -160, lat: -74, elevation: 0.0
lon: -160, lat: -70, elevation: 0.0
lon: -160, lat: -66, elevation: 0.0
lon: -160, lat: -62, elevation: 0.0
lon: -160, lat: -58, elevation: 0.0
lon: -160, lat: -54, elevation: 0.0
lon: -160, lat: -50, elevation: 0.0
lon: -160, lat: -46, elevation: 0.0
lon: -160, lat: -42, elevation: 0.0
lon: -160, lat: -38, elevation: 0.0
lon: -160, lat: -34, elevation: 0.0
lon: -160, lat: -30, elevation: 0.0
lon: -160, lat: -26, elevation: 0.0
lon: -160, lat: -22, elevation: 0.0
lon: -160, lat: -18, elevation: 0.0
lon: -160, lat: -14, elevation: 0.0
lon: -160, lat: -10, elevation: 0.0
lon: -160, lat: -6, elevation: 0.0
lon: -160, lat: -2, elevation: 0.0
lon: -160, lat: 2, elevation: 0.0
lon: -160, lat: 6, elevation: 0.0
lon: -160, lat: 10, elevation: 0.0
lon: -160, lat: 14, elevation: 0.0
lon: -160, lat: 18, elevation: 0.0
lon: -160, lat: 22, elevation: 0.0
lon: -160, lat: 26, elevation: 0.0
lon: -160, lat: 30, elevation: 0.0
lon: -160, lat: 34, elevation: 0.0
lon: -160, lat: 38, elevation: 0.0
lon: -160, lat: 42, elevation: 0.0
lon: -160, lat: 46, elevation: 0.0
lon: -160, lat: 50, elevation: 0.0
lon: -160, lat: 54, elevation: 0.0
lon: -160, lat: 58, elevation: 0.0
lon: -160, lat: 62, elevation: 0.0
lon: -160, lat: 66, elevation: 0.0
lon: -160, lat: 70, elevation: 0.0
lon: -160, lat: 74, elevation: 0.0
lon: -160, lat: 78, elevation: 0.0
lon: -160, lat: 82, elevation: 0.0
lon: -160, lat: 86, elevation: 0.0
lon: -160, lat: 90, elevation: 0.0
lon: -156, lat: -90, elevation: 0.0
lon: -156, lat: -86, elevation: 0.0
lon: -156, lat: -82, elevation: 0.0
lon: -156, lat: -78, elevation: 0.0
lon: -156, lat: -74, elevation: 0.0
lon: -156, lat: -70, elevation: 0.0
lon: -156, lat: -66, elevation: 0.0
lon: -156, lat: -62, elevation: 0.0
lon: -156, lat: -58, elevation: 0.0
lon: -156, lat: -54, elevation: 0.0
